Episode Number,Chunk Number,Duration (seconds),Transcription
2,1,30.0,ekitshedimosetso ya kowid  noitlisediwa ke motswedinya fem ko nkabokamosoerasantse reb r ere retsa dipotso tsa moretsi moreti wabotagakitsor ke go botse potso kgotsaonale bosnot nga go bootsa gaorata hakitsi teakakani kelahaeeeeeedmelangeekake emaneleeeke
2,2,30.0,makobedikinjikopa go o ompoletse mme goka kogna gona ba isinammakwalo zithupo  agtafelaletsa ge tlhabilwe ga twenka gona khosale ga ky tem go biwa go dota etaokanaisiwa makgausnkgu go boelomo go rona o ga artatlhabiwagotsajang kya leboga tkaeetan kanee mretebepante kgany e botlhakwathapa gar ta gopela e  bwa nnekikhona kore  kie gaditliwa kore
2,3,30.0,a jabosemannakwalo athuto kapatsana di idi kapa tokmanpedin kotshanale refuji e kapa afelan pikadokine baka kirea ne elto mmen  gare ka gotola gore medi khwedinke phare pehitileng papala dipikanalebereleptge khwedia diphalanidi e himonla eto bona e yone kghan eya herebat japa hinantekonane kapa nopalatupo ba kakhunye india nne kanako e ya na get
2,4,30.0,repene go kanaiwa yayo nne rau ta her garenentaletja go teho gakibualeba hlatitin bana gaekibualebapagapebabya gore nne napol e fahelefen e fa hepen e fa heli dithimpen lefapaladitikanal le ke pe ga himlitya herek namnakwala di  a ithupo baka entayan ne panafo e reabana fer nee go na le dipelelo papaletatba bua gore
2,5,30.0,nankabahinanapalati atko ba kgonehetane upo mne re bonafet kha dirragale mneo lepatli lolotle fa pamne naagennelotle ke biragala ko mafelen anang komen a fa biragale mnee hipe ka napo e yana enefen gore e re bona go reba o ba ba gimang mapala ao kabaka e hnanete lebanen e beponahore idf yalenahe khorekeonee
2,6,30.0,nagartatla ar intanet kori nd ko okoun kwa dihetantel e bantlanmohintla hobola gore le ba hibalahenang makwalo ao a khena go berepa mme danato ee siana gene ke goree dipatihihe ke kapag egeepe e ho jakolefa palabitikanaek e thoopakame kidulebat babamni reganto hebeta tapetiyamerehi knalba taran ta re hoilenhore
2,7,30.0,legand banadi   basnamakwalo ao bakhonh kram ente mmee a ka tekgalesa gore ga se fefe si tanenankatimn toka patsete bigeting ke go retitsa maka letlulela go enpa le mopoleno ho na lee badesibaapoo emapelyang a ho enta a tlhone gampile a tlhaloganyan gore gona lebatbaba batla mmeendo ne piletsepe nemnepelenyabele  ko repela gabana makwala ethupoka makoekga
2,8,30.0,men eeno afekhabera e malyen na moro ya aidi ne ebkhore ikinedite  dikanaya gago ya hipo o ka nala kosimape laipayane temprare aidi kure o khonokram epe ne ga o le e nkoo klen fekhabora e le retidi kapayene o le afalampika ka nako e yana gete hekhalte pentle pentle gore go berekayankimmeb
2,9,30.0,tela ganterene pegwene te le paphalabi tekanelo khori le belle topa topa gore ditanetipa dikoberpaian ba tlhalotite kapanedi khodinpehipile ndapee nekhalekep o galetite gore o ntna go le khata ke ge lekhapahere bakgema ke bonagere eddf ek e ka bereka yang er here e ghena gopaya lebatbabahnammakwalo aokapaninmerepe
2,10,30.0,mne e rine kefela kutadn  di ditetleleto getapa le fakhalladititanala raipi go nalee ba ba thana lebabe khoelet eben hi naen pipe koletion bante ba buaka ne ento ba reteta le batlhgor batni ento nne ba buellela le bath bne thabenjabarre rkabadikartidi ban rapo population kapa bande kommunitin kirbat babanemo pepin ya go entliwa ka ya go thata gata
2,11,30.0,dnen e le palebapala mokgo baphulantaone kapa gedlopatene ditokomaneteribuangatene mnee bakhaletipe hi nen tliket kolytion e khalitipe kore e nte ba le mne dipitaneng ke dipelento bakopa o bakopa kopa elhephalabutikanele le puto gore ba pankanya kgany e gomne renale di an daktumented mikran ee gare byaka tene di an dakumenked mikran emdbwaaka batbabaleno a hethaborwa ne ba henadib
2,12,30.0,miri keo khategankhoro  go no e ntlua e ne falebapala gore bathabile mahothabone kapadnagata bone ba mapata a namtiki a ka diragala papabatile lefafa ba batla npiro ba batla bophilebobubutoka nne babiella batlibao po ertinakit koletion batlalefa koree kgamnge le mong mo afrika bora a reke mo afrika borwa e naledipankire hamadipand
2,13,30.0,atla intua reko bona mathata reko bona mathata a gore rekopalelape gore re kireyana hed ithi e re tlhopan rerekho no bona dithepagodilpetlak mne tanape e re tenamonyeny e ganterebuaka gore maitanape baeta gore leroboroboc yola bonne la leroborobo la preded  lekatlele le mopeleng go bo tlopaharek batle ba janti ba empiok gorre bona ko rek re kabanayondkna
2,14,30.0,po e e k here o bo tepolethelo le ondn polole gora ana ba pa go thuta ga o le mo afrika bora o pinedipe popo e dikonoaneta gago o ka ya to bomahet kretentarare aidi paapa leone ga o o pinedipe dikapamanipedintetsa gago oka ya to bomafe hre ba go thutecmne gao nadie ofnahepefipanapala a nanone o ka enela kerrite lefakhalampekanelo mo beden e lapelang kipe le ka herikikire bale fakh
2,15,30.0,ikana patatata barefe le ge le letlha la gore  yena hifin e e tethisandatlba ditetimennaleng ke lefe tse diragala there benetlela renela hikodipigo hetapobony dikanetakapeto emaotlogala otlogala rtlannanjeremetse  dikarabotseo yna pansorale bogatlheleka oso a re tswalepelre jialo ra lebogot o itumeletsatsilagagekireneitumeleletsatilagagalyona eman e khaletenklelena kela maakobedimka
2,16,5.65,oremo napano lee nekikojaethae osinemn
3,1,30.0,ekesedimotaoma y koidn nauitlisediwa ke motswedinya fem kong kabokamoa pontso pilane noo ponso a ko re re ribueka kan kowid  moento ka go ngwe le athritis ramatiki nne itantleso kebatehthalhetangona a ke rrona ga ribuaka hutswanaka kinyarunarara hela ramadikimne gantse kepa dipatlisisekebon
3,2,30.0,go na le raanaki kikapa e be ta rumatwed athritihlic e go na le ngwe gapedita riaes athritid mme gompion tatatota dipathse ke dibonthapa ke ta rumatoed atitifi mme ke gone eeki klobuankayone ka jeko e gariithela a ne eramatiki gehi ke bone dipatitsehedinti sedi uankari ekend athrises mnen hefe kironeletle le dipoto go
3,3,30.0,baikaanape ba ke baiti gore bantlalefetse gore go reng go hena bopaki kapa dipatisisoka tsari atek athritis mne garkasimolakayone rimakad athritis engol a re popole gore ramatifi aka romari duta ke bolweti bo e ba dibitan gore beta ke bo sa plhetsa immitsihingarrial go gore bo kwatsatammele e matole a mmele a rona gore a khonobereka
3,4,30.0,mme gape  ka nka nako eintsi kee bolets bo bo tlhopanggore batho bangwe melemo e e kwtagore   e kwetsanggore ba ngwe di  melemo ee meleya bone e tlo mafolammela bona y ya nkotla sithata gonne e thutsa gore ee e lakgatlanonye yone ramatiki ee ke otho e nnin kisisne ge
3,5,30.0,gare lebelete yalo  baitamete ba kot amerikan kollege o bmetolojik ba tshetse banthite kaa tlhapoleke ga tsetsabantha din e ba ntha n e dipatiisopapaba bua gore bone ja aka batho ba ba berkanta batho ba banangleng mated adrikis e ba bona gore me ento e kaetsa yang ne santlha ke gore eebthatakapab bothata kabat babanaleyone e ri bitang
3,6,30.0,otho onindidiss ke gore tatatata mmele ya bone elntha e lwantsha masala a mmelabona gore ebone ke bolwetsi bateng be berkayan mme ge  tatatatsabathebabant ba mo mme lemong ee ke buankayona gore e thutsa gore ntse  masola mmel nktlati mne kanako e go raaroba immuno kompromise go raa gore eba kwatletno mnenennee ba mo koting e ko dimok
3,7,30.0,ita batho ba ba thanang le rona ba ba henang buletibo e gore e bakirie kapaba ba thepegeka negare e ntlupi megare eu lioneraite go re kgaraka gopola betanpe barthaufadtogore tge u kwathetsimommeleng e le ka lebaaka la ogare o mongkapabolwet bobombonnan le bone o mo kotinya go krea kofid n go khala bathuba bangme gare lebela gore
3,8,30.0,tana pe barre mo afrika boragaise ke bone  baitsanape ba bothanang le bona bako amerikan siety of athitis orymotolodi ne ba ko khanada ba ba bitang athritit researth e le ba batlifisi ba ba lebeleleheng goreb mmo ento o kapa kohid ama batho ba ba thelankaboleti boyang mne santlha tsee ba thalofante gore batho ba ba ngwang melemo ee ba thitang
3,9,30.0,banneka otho mindisisia bone mne melemo eu itsa mafela a mmelabony  gotlafi ba bolella gore ba saetsa eiditwang li saktin mne li bektin ke ee eokay l moento o rubtan li sakty ke mo ento o nan le mogare o moente o webiditang gore ulanthe mme ka mokgwa oo ee batlhod ke go re gasemog
3,10,30.0,ary o bogalo go tswanalemogare gaoka go taetega mne ke e wiken wesin ya mogare o ee o thutsang gore mogare o kgo nogola mo mmelengwa gago mme o fa etla bolepe bo moonaakony ee meento e tshwanaleyone e ya lytakin ke mo ento wa yelo fida le moempo wa mmudok mme mo ba thumbamannalle masola a mmele a setakwafete go na lekotu e ko tlasebaitsanate batlhalotsag
3,11,30.0,ore ba ka bona gore le bakin e e kaetsa bolwetsi bo e e batlang go bolwantha dibata ke gore a ka kibile gore batlh bantsiba e ba nwa melemo e thusang gore ishem  matsolamelabonekotlatse mme go rago re mela bone fogonkgae bo ne gore totheki mo ento go ne tse rotse re tse ditwanetsi ebepath
3,12,30.0,waki bulwetibo baipanake batlhalotsa gore gatse ganti re bona kgaeng eo me e teng mme kgwatlhalotsa gore kanako e yana me ento e ribirisang ya kowid  e len faeda e lee jonson n jonson gagunna lyf sain mo me entong e go ra gore e  baikanape ba ba berekanka batlo ba ba nnale ramatiki ba bona gore kga go nna le
3,13,30.0,akala go dumela gore me ento e re dirisankanako e yana e kaetsa koti mo batho mbare bonere ba disanrrkiba immuno kompromise eriua le bona tarath saba na nleyonramatiki mme kganaanogasentsego lebelletswe e rait go re thatathta lebella pre dipatlisiso gore ana ditlinyikha phaele  tsete dieditswe mo bathong ba ba nnanle ramatiki ka nakoe yana e ke bonefela
3,14,30.0,kiyapoo go na lewetsaite e o kwe okhonoyankoyanogoru o wone gore ke di klinikhatael hehin tse di diragala mo lefatsakabophara nne moo mo mo madan diboni ye e le klinikhathaely e lenmu e lebelleteng gore go diragala mo mmeleng ya batho ba ba naleramati lekho ebabakrang mogare ene mo ente wa kohid  ka nako e dipaditteteo gaithiditwegarka go pula e mleb
3,15,30.0,koga gorecc bolwetsebo kapamogare o wa kowid  o mo ntlhwa mme ga nako ntsetsamayana baitsana pe babatla khweta dikinkakhaele go rikirie e d maele kapa dilope dipatihtote dintlha ka mogare o ka nako e yana kgaitire bone goreng ee go na lebopaki kapa bopaki bo bo botlhang gore batlho ba ba nna nle masola a mmele a kwa heteng ke en dikotsitic
3,16,30.0,ng thetntle pe ka bathutankamoka ka kowid  pee lebatho babang baikanapebatsikopanke gore ata tota go ka nna bonola gape le go kaya kongakeng e go thutanka boletibok gore o buele yone o itlhalotsete mathata kapa ene i dipototonan letone ba ka go thutha gomne le bona baiti gore kee mire ke me lemo e feng o itlayang o enwelang eramatikia
3,17,30.0,gago mne go na le mme lemo e menkwe e ka go reng taka  ba ngakayagago ere o sa iina kgweditsepedi o tla moento diletseyana nne go nne gaifi goitsui totatata gore bana tiki lee moento eberkayang g  go bontlha gore ka nako ebe lebeletweng gaise go bontse gore go na le motlu o oo bo neng e a a lwala mommeleng mme go botlhapwa gore
3,18,30.0,euzilo bua lengaka ya gago kur utle nyaka yareng gomme ko na le melemo e mmti ya ramatik detlwe twegalapo e monkajukwanakwen no go u tlwoga lara lebogatlhe pontsho dirafela ialotlhe o botse dipotso tlekakwanle dikarabo ranar ba tla go ithuta ra batla batho ba le bantsi ba kghona go tsana moo eemo di thulaganyontsa go entiwa iaaka mekukwa gore gatswa felafa o ya ko ntlekwa wa go bona moentwa gage re bona gore e diotlotsedidis
3,19,6.01,sentenaral bo gaponsotla lesentele ka mosoee theleten ke emon le le baret ba tlhalepentle
4,1,30.0,e ketshedimosetso ya kofid oitlisediwake motswedinya femo konkabokamoso oo pontsopilaneenonmokwena ee o siamesiame engonnwena o siamenima pawetsibaretibarnabar botsa dipotsowena ponsoreitgo rewena okgonogotsa dipotsotse o diisekoo baitianapen o re tleleka dikarabotse dimalebagonale moretsi wa tlha
4,2,30.0,mabanere nere botsapotsa gore fa mothapiagago akago gapeletsa lefokoleo gapeletsa gore o ente a o tla enta kana o tlatlhopa gore  uitsamaele o tlogele tiro morejo mongababuare  wetsikeng nna kukle gore astrasaneka o tswantse wa tlhaba dikgwedi di lethataro fa o fetsa wa boela gape moragadigwedile thataro o tlhabagape gaki jorekgannyio ae to tobetsi ke nnete ga seyona na re tlhalosetsennaant
4,3,30.0,botlhokas tshenaribwa kasonake gore mo afrika borwa gare diris moento wa astratnika ga re ka gopolale ba retsiba gopola ko gae gore ga ne re tumolela lemaneola rona la moento lee motonai yakgale ya behaphalabdikanelo ye lendathaselitide ga nabega kakwedia fhergom urilo en e nere semolotsa gore rekofe molola kaona moente wa astrabnika mne ga dipatistenta di dira gala gwa
4,4,30.0,bonala gore kanako e ganerele molero borebol labo liuolaobbedi la kobid  gore moento o o katsiberekele mo afrikaboragape galka gopola eberatrale e e meento etsankoo seen itthikiako india e le e nne e le gaufi ennyabilenese ehinyegilekapa  e nako e ne e se te e beile moona gore e birisie e ne sete fikilemme ratani ente e yarenay
4,5,30.0,astaanika afrikaborwayai brekisepa afrikan union gore e fa dinagasedumo ontinentenya rona ka lenaneola kosekt fasility he sa ntlha ke gore gare dirisi mo ento wa astradanika mo afrikaborwa mne kge noento o wa astradnika o tlhooc a ka mo enta wa fasabay empek o thoka mamao a le mabeki okralemaolantlha ne moragwadibeke k wa
4,6,30.0,araitwema malati ale hodu mnee ekha wa astradnikharaifaanape ga balebellepe diklinikal trele le ga go lebelete dipatithate dipankode yoke medikal athoriti go yaleyabelyalogwa bonfha gore  oka kram ento omoragogadibeke dile nne kapa dibe kted eematyo ee letemelenonge lema er e bibeke di kwedite tharo e maitharale fo me ge go nna gare dirisemo entoma ahk
4,7,30.0,re dirisa moente wa fitar  le moente owa jonsanan jonson rat moente wa jonsenan johnson kelemaole le lengwe mme wa fitar otla moragwa malapi ao a nekibwakaonagananong mme ge gaki tlhaloganye gore k e katwa gore moretly o me abala  dipigelo tago apo legathegle lengka die ka moente wa artrajnika tekititinka gananon pe gore hanteridrita fela meentle e ne bedi eo ye lengw
4,8,30.0,jonsemn jonson lewa faesar nnee moento eo go na le matsati a o yankone ba go bulela moel la  atrajani la janseman jonson ke lemaole lengwe a tekakibile mne la faesar o tlaya moragwa matsati  ma dibekedile  raparo o buela gape o krawa goa bepeki emne raesikegare fete go bontsite gor dikn katlale dietied ehepedi dietipe kitiwe
4,9,30.0,bontsha gore e meno meento eri dritan ya ya berepa e bereta sentle me gape e sireletsa kampano ya mogare wa kohid tn dipathisiso te dntere di bona tegape tentleditwa te gore kgao entile go bonntha giti ba boni sentlethentle seitsana imarbabanagor ekare le go o enkile ne ento ithutsalegore o fa tlhaetega bonoolo ka mogare o wa khd
4,10,30.0,tin ne kanako e kika lebaaka leor drtanne vento ne ento zepen mo atlukhabura nne keone e le me bedifela yalo ka nako er gantobuaka gore kgapaleto ya go enpiwa koe ko kopiron nterilebelepijaparikule emot mayatsa bpikanele o montlha rrejouphatla a na bua dikwededidete tehitilentle a bua gore gank go lebellete ga nanon letfaphala
4,11,30.0,anelo papa tapa gabarehepe patelepe ya go enta go nne ere ka simulula matlhata a mantsi ka gore ke enkgape gar ka lebela mo didipurni gore ga go bepere gore rerupe batho kapalefaphala bipekanelo mepuso dirupe batho ka gore mo ento o berka yang batlhalofete gore ke eng di dikosita ona kapa ke en tsefe e thireletambatgorba batla go tla moento ke eng e se ba ba
4,12,30.0,tlaloganyin  banre bona gore gupateleta gefa mothumi ento asao bapwi mme ke gore fela ya ka lemo mo tidin fm le le faphala bipikanelo le ba bamba baperekanka digantsabak ba le ka ge kgalotseta mongwe lemmongwe mo afukha bora gore botlhokoba go enta ke eng go bepereretana yale eban re pateletemot go enta mme kanako e ke go rrumkwele go twa koba baitsanapeba batlhalogay
4,13,30.0,libalo gore ana  gwaletlelwa gore motho a pateletse moento me kanako e gaokayakwo lefelong la go enta g egotlhe mo afrikan bora okokramoentowa johnson an johnson ye le lemaolele lengwe kapamoentowa faeda raity gore faplha leyone e hetsedumete moente wa sinodek goru o diriswe mo afrika borwa raitele gore ditlinikatraele tsa bana ka moentle o hetedisimoletomoentle o wono bitswak
4,14,30.0,nabek me kanako e kgaifi le khaphaladipikanelo lefimulle gofa mo ento o mo linaneolaronala meente ke pan takajekwe emwen ruklese ntle gore a astrasnaakagaeastrasini gaiiomo afekhaburakanako gae yatsabo si man se manse go raagore ga diberekefaeynnrkratlaloganyant le ka dipatlisithetako makathengam
4,15,30.0,go bontsa gore tapatatak go biuaka gore atradenika e ka kiriwa morago ga bekete tse nne kapa kweditsetharo ka nako e kinagana gaki timarkinagana morepe kgung o gabalafentsa a balaka gore dibutashop ne ka nako e a ka ntekidwa mo dibepentehitile garit sepe ka dipustasat mo afrika borwa ke bone mabali dipegelo tse dijanko usa di bontha gore  tbsi y e e letla
4,16,30.0,eri batho ba ba golwana ba gudika ba fetandingwa gadile e f le batho ba ba phelankamaleta aman ke bona batinkha ba batse krand dipitashap tsa mo entawa faeda n ke bona ba lemmokopi ya go tshwapega me ka nako e mo afikha bora biaaka le paphala dipekano le rebegeti diekentsehitileg gara leballakgannya dibuthashop e te gore gare tsotsenapo he te botlhwaka mo afika borwakanapo e ke gore re bonye ba
4,17,30.0,atho ba banpi ba entiwa le ge le lemao lelelengwe kya karipi mme gape a ka ripy go rene seloguta gore batlho ba ba funang ditokomanekamo tia tsa ibil paspoto kapa isalam orefji petat le bona ba ka tram enta yang batho ba ba nnang le mo dihrapeng bahinanagaere kapelegor bona baka entiwayan pele re tena le gorik ko ana renart ba ba hefeda entsilereplokram entwa bebedi e the bo tlhoka gor rebone
4,18,30.0,gore re entabatho kgangwe pele papagabedi ga badiritha wa faesa e lere tla bona re buapa diputasopgutwagaetseralebogatlheponsopilanotlholesentlerleboga ti tshermisejagagompieno kialeboga e monlekholetsenklelejele lonwikenpe monate eke selofala re tla bona mo mafaratletlangabutapolofok eedifothepalenalaperekipo riipilelleleroalen e jhaileppontso e jhailenentla mosela e jhailewa bonato o bona ke na komamosen
4,19,10.19,a o lebelotsenakwakeremose raakoba gwe binnyano togela ndiotse tse di tswilemmotseleng pontshopilane mme ga digangwatsa pgolo re tlabisalwena gamwonakonyetlangtlholasentla ra bowa
5,1,30.0,e kekgatiso ya motswedinyaf em konka mo kamosoc emongwageng ona mo  akeka bora go na le bana ba ba bogetsingke batsadi ba le f  mmee e kione etedc lemmo dipakisiton tse bieditseng moo dinageng di le tw e le yone mo afrika bora kgolebelete gore mo dinnageng tseo tse dite
5,2,30.0,yn go diragetsenka batsadik enme go bone gore bana ba ba pletang f milion ba ba ba sisweba le e e go sna batsadi batsadi ba tlhokofetse e le lebakalee la mo gare owa khobetileka borabolegolull le re lemolone go tugako o e maj ya ngwago file gokgela kgwediya monar moranang ya ngwaga ok ed babatlitisi ba le belletse gore le go dira
5,3,30.0,kalang ne ke bana ba bakae ba ba a tlhokofaletsintiba ke batpadika le bakalaa kowid  mme dipatlihitsho tse dieditswe kee babatlisisi le baitanape ba ko the unibersity of kape town akseleratin akhifement for afeket adoletant habe nne ba lebeletse gore e afrika burakione idi lende dipalopalo tedi te dikodi mothata fee batho ba ba tlhokomelambanage le batsadi
5,4,30.0,kapariboyagaparait go re ko na le bana ba ba nnang le bonkokolo bontetmogolu ba bang ba bannang le batse ba e twing batadi ba bonenne e le bona h ba ba tlhokomeletig ba ba tlhokometsing enne go bontlha gore thatathatamo afrika bora e bapadi ba bantsi kapabatlhokomeli ba bana ba ba tlhokofasi ba ba tlokofetsengka lebakala kobid  go ra gore bana ba tlogetsi basna batsadbcmnedipatlisithote a keke ikhalsitsedicedt
5,5,30.0,leunibersity of kape town mme gape le unibersity of okford ko  united kingdom mme babatloli ne ba ba tlo bona gore ke bana ba bakae ba ba tlhokofaletsinkle bapadi ka lebakalamo gare o re le mmo one o gore go kgonoo bonwa gore go diragalangane dipati eo gaditswa go bontsita gore a ba ke tlhalesitse gore ke bana ba ba fetang  s mill
5,6,30.0,nn ba ba tlogetseng ke batsadi kapa kgabekheleba ee ke gore ke ba tsbane bannale le bonkoku borakgadi le ba tlho ba bahelayalo me  ba bone gore bana bao ba tlhopofetsemme ga go lebetsi ga re lebella tsa mo afrika bora gore ke bana ba ba kae ba ba tlhopoha kbatadi tapatisihibabontlha gore ke ngwana o le mongwe mobale tded ke one a hnanngotadikanako e ya na
5,7,30.0,mme ke banaba bafetang  ga re lebeletse ga nano dditshetsa runatsa kohid  difida ste  go bantsa gore thatata arelebeletseoe ga re lebeletse gore k kek modinthumpeo totatlota gob a gore bana ba balen ko tla sa dingwa gatse een ke bona ba snambas ba ba ba tlhopomelang en kapababone gore ke mo sadi olemongwe kabpab
5,8,30.0,le ba bedi ba ba tlhokofalang e le bakalaleo afrika bora kenaga elenko kopele thata a ka ribua ka palapwalo eya batho ke ba ba nf ne ga relebeletse mafathe a mankapadinaga teding mo afrika bora mo mo kontinente nya rona ya afrika go thana le khenya kenya nele bana ba le fofhded malawi e le tthehded nijeria e le thendandforty
5,9,30.0,sewen ne simbabwe e le ttse ne ga relebelayana tota tota ga re lebeleta naga ya nijeria e ritsin gori ke ba  go na le batshobabantsi populetion ya ko nigeria e kodimo mne rona go bontha gore mo afika bora gore go tlhokwofete bathbalebantsi go bontha eng go bontlha gore bohata ke gore leroborobolego lulemo afrika bola nelele e nnele le kodimo thatago  ha r lebelled
5,10,30.0,dinagatswedintsena mme ga go lebeletsithata gore afrika afrika bora moo kontinentenya runa ee e e tota ehopot a ka kibuile dinagatseo tsa mo afrita  go na le dinagatswedingothana lebo arjentina brasil kolombia ingland le united states le bo russia ko dipatisisen te le tonedifileng ne go bontlute gore  totatota ke bapadi e
5,11,30.0,ke bathorbantsi ba ba tlhokofalang ka kohid  mme thatathata ke gore ba na le bana ba ba nnyane kapanebatlhokometwe bana ba ba lenkafotatsa dijaratse te mme beitanape ba lebela gore bana kgantse rebuaka leroborobo legolo lelrlerelem molonele reg re lebalabana re lebala go bua gore pana le bone ba amega yang tatatatanteribwa thataka gorekwed
5,12,30.0,olong ga dikoloditswala ya lweleyalo mme  ntere lebala go lebela gore ge bapadi kapa bathoba  ba ba tlhakofalayana go ra gore go na lebana ba ba tlebespa senabapadi ba se hse balebangfoo ne baitanape ba ba batlhalotsa goree ga re lebela dnthufa kofid t di go puta dintshutsedi diragetseng ka di eli ttsd ga ne re bonabat batlho
