Episode Number,Chunk Number,Duration (seconds),Transcription,transcription,
1,11,30,o tiu jhti fti tot online mme o ka nna  patisipandekapa oka okata nna ya dipatisitote o thuta baisanapep ba gore bakgone bona gore mogokgelo wa koemaslin o berakayang mme ba bial gore sentle gotsa febaka gore  ba nkradkhatititeteo  ka napo efentle bata phalep ya bone sentle babatle bona gore ana e ka nnabatlibabanti bba bakan,"1. o tiu jhti fti tot online mme o ka nna  patisipandekapa oka okata nna ya dipatisitote o thuta
2. baisanapep ba gore bakgone bona gore mogokgelo wa koe
3. maslin o berakayang mme ba bial gore sentle gotsa febaka gore  ba nkradkhatititeteo  ka napo efe
4. ntle bata phalep ya bone sentle babatle bona gore ana e ka nnabatlibabanti bba bakan","1. You know everything online and you can be a participant or you can be a part-time student.
2. The experts say that they can see that the link is closed
3. Maslin is explaining and they say that it is good to have sex.
4. If they don't like their phalep well, they want them to be good friends"
1,12,30,enalangene e a kare aaoopola ga re ka gopola e mento gahari baisana ke ho ba tlhoka runa batho fela ba mo afrika borafela yanabareti gorre bathute gore babane dipatihitepee thapathatakabunti ga o ikwaditseta dipatisitetetlhonaleyana ga go na madi a wakrannye uthuta baitanape lele nya mo ahletha borago reko no bona el di dipatisiteke bitlha ka boleki bo bontlha bo bon kofid,"1. enalangene e a kare aaoopola ga re ka gopola e mento gahari baisana ke ho ba tlhoka runa batho fela ba mo afrika
2. borafela yanabareti gorre bathute gore babane dipatihitepee
3. thapathatakabunti ga o ikwaditseta dipatisitetetlhonaleyana ga go na madi a wakrannye uthuta baitanape
4. lele nya mo ahletha borago reko no bona el di dipatisiteke bitlha ka boleki bo bontlha bo bon kofid","1. This angel did not remember when we remembered these things between them is that they need to run only African people
2. The students should learn to fight each other
3. thapathathakabunti you don't register for the certificates, there is no money wakrannye uthuta baitanape
4. Let's get back to the shop and see if they have the details on the first loan."
1,13,30,go o ya koyana ko pebat online o tla bona gonale ye go blela gore ke in  sehe tiragalang gonne gore batsedirisa dikgapisisata go kweta iny kapauanluanlwan mme go botlhoka gore le bona re rokwete epanapebarona ke bathu ore ka batlhwisanpeng gore re bone gore ba bonye  disoluten ke dintlha go bontlha  ego go feleta kapagepa kobid krenin e nne bolo bonolo,"1. go
2. o ya koyana ko pebat online o tla bona gonale
3. ye go blela gore ke in  sehe tiragalang gonne gore batsedirisa dikgapisisata go kweta iny kapauanluan
4. lwan mme go botlhoka gore le bona re rokwete epanapebarona ke bathu ore ka batlhwisanpeng gore re bone gore ba bonye
5. disoluten ke dintlha go bontlha  ego
6. go feleta kapagepa kobid krenin e nne bolo bonolo","1. go
2. If you go to Pebat online, you will see this
3. It is important that I see what is happening because they are using capsules to make it easy.
4. fight but it is necessary that we also see that we are the people who are competing so that we see that they see
5. solutes are essentially particles
6. to finish kapapepa kobid krenin be ball soft"
1,14,30,e ka kamokho ihinbonolakanako eyne pane pakajiko enanya gotwgala rale bogatlhe e wenapon eee diape diatla yaanon go taeweji khohid eretse ere tshweerenee eye ere serae e ngana arepoyaagok ke porelenpeetshwantseyanongo nele epe go bona re gote earbonepeoeeekoit ke ao bathumpontso yanoe erethere kohetye le ga le go tsiamera lebogapore le,"1. e
2. ka kamokho ihinbonolakanako eyne pane pakajiko enanya gotwgala rale bogatlhe e wenapon ee
3. e
4. diape diatla yaanon go tae
5. weji khohid eretse ere tshweerenee eye ere serae e ngana arepoya
6. agok ke porelenpee
7. tshwantseya
8. nongo nele epe go bona re gote earbonepeoeee
9. koit ke ao bathumpontso yanoe
10. erethere kohetye le ga le go tsiamera lebogapore le","1. Yes
2. In the same way, this is the place where the whole world is.
3. Yes
4. where do you paint your hands?
5. weji khohid eretse ere shweerenee eye ere serae e ngana arepoya
6. agok is porelenpee
7. take pictures
8. Nono nele epee to see us gote earbonepeeoee
9. Who are the kidnappers?
10. erethere kohetye ga ke cyamera lebogapore le"
1,15,3.26,tnakwagago le ka mosotlhedirefala ialo,1. tnakwagago le ka mosotlhedirefala ialo,1. That's how you get there
2,1,30,ekitshedimosetso ya kowid  noitlisediwa ke motswedinya fem ko nkabokamosoerasantse reb r ere retsa dipotso tsa moretsi moreti wabotagakitsor ke go botse potso kgotsaonale bosnot nga go bootsa gaorata hakitsi teakakani kelahaeeeeeedmelangeekake emaneleeeke,"1. e
2. kitshedimosetso ya kowid  noitlisediwa ke motswedinya fem ko nkabokamosoerasantse reb r ere retsa dipotso
3. tsa moretsi moreti wabotagakitsor ke go botse potso kgotsaonale
4. bosnot nga go bootsa gaorata hakitsi teakakani kelahaeeeee
5. edmelangeekake
6. emaneleeeke","1. Yes
2. The presentation of the disease is explained by the researcher in the fem.
3. of the singer the singer wabotagakitsor is to ask a question or a question
4. bosnot if you repeat gaorata hakitsi teakakani kelahaeeeee
5. edmelangeekake
6. emaneleek"
2,2,30,makobedikinjikopa go o ompoletse mme goka kogna gona ba isinammakwalo zithupo  agtafelaletsa ge tlhabilwe ga twenka gona khosale ga ky tem go biwa go dota etaokanaisiwa makgausnkgu go boelomo go rona o ga artatlhabiwagotsajang kya leboga tkaeetan kanee mretebepante kgany e botlhakwathapa gar ta gopela e  bwa nnekikhona kore  kie gaditliwa kore,"1. makobedikinjikopa go o ompoletse mme goka kogna gona ba isinammakwalo zithupo  agtafelaletsa ge tlhabilwe
2. ga twenka gona khosale ga ky tem go biwa go dota etaokanaisiwa makgausnkgu go boelomo go rona
3. o ga artatlhabiwago
4. tsajang kya
5. leboga tkaee
6. tan kanee
7. mretebepante kgany e botlhakwathapa gar ta gopela e  bwa nnekikhona kore  kie
8. gaditliwa kore","1. Mokobedikinji begs you to forgive him and if possible, they will write to each other.
2. There is no such thing as ky tem to be called to dota etaokanaisaisa makgausnkku to us.
3. He is not tortured
4. How are you?
5. Thank you so much
6. how tan
7. mretebepante khany bochothapa gar ta gopela noke kore kie
8. printed kore"
2,3,30,a jabosemannakwalo athuto kapatsana di idi kapa tokmanpedin kotshanale refuji e kapa afelan pikadokine baka kirea ne elto mmen  gare ka gotola gore medi khwedinke phare pehitileng papala dipikanalebereleptge khwedia diphalanidi e himonla eto bona e yone kghan eya herebat japa hinantekonane kapa nopalatupo ba kakhunye india nne kanako e ya na get,"1. a
2. jabosemannakwalo athuto kapatsana di idi kapa tokmanpedin kotshanale refuji e kapa afelan pika
3. dokine baka kirea ne elto mmen  gare ka gotola gore medi khwedinke phare pehitileng papala dipikanalebe
4. releptge khwedia diphalanidi e himonla eto bona e yone kghan eya herebat japa hinantekonane
5. kapa nopalatupo ba kakhunye india nne kanako e ya na get","1. a
2. jabosemannakwolo athuto kapatsana di idi or tokmanpedin kotshonale refugee e or afelan pika
3. Dokine baka kirea ne elto mmen mide kotolo that medi kwedinke phare pehitile pala pikanalebe
4. releptge kwedia dipalanidi e himmonla eto see the same khan eya herebat japa hinantekonane
5. or nopalatupo ba khunye india nne kanago e na get"
2,4,30,repene go kanaiwa yayo nne rau ta her garenentaletja go teho gakibualeba hlatitin bana gaekibualebapagapebabya gore nne napol e fahelefen e fa hepen e fa heli dithimpen lefapaladitikanal le ke pe ga himlitya herek namnakwala di  a ithupo baka entayan ne panafo e reabana fer nee go na le dipelelo papaletatba bua gore,"1. repene go kanaiwa yayo nne rau ta her garenentale
2. tja go teho gakibualeba hlatitin bana gaekibualebapagapebabya gore nne napol e fahelefen
3. e fa hepen e fa heli dithimpen lefapaladitikanal le ke pe ga himlitya
4. herek namnakwala di  a ithupo baka entayan ne panafo e reabana fer nee go na le dipelelo papaletat
5. ba bua gore","1. repene go kanaiwa yayo nne rau ta her garenentale
2. eat there gakibualeba hlatitin children gakibualebapagapebabya so that Napol is safe
3. it gives hepen gives heli dithimpen lefapaladitikanal and ke pe ga himlitya
4. herek namnakwala di self-help baka entayan ne panafo reabana fer nee there are results papaletat
5. they say that"
2,5,30,nankabahinanapalati atko ba kgonehetane upo mne re bonafet kha dirragale mneo lepatli lolotle fa pamne naagennelotle ke biragala ko mafelen anang komen a fa biragale mnee hipe ka napo e yana enefen gore e re bona go reba o ba ba gimang mapala ao kabaka e hnanete lebanen e beponahore idf yalenahe khorekeonee,"1. nankabahinanapalati atko ba kgonehetane upo mne re bonafet kha dirragale
2. mneo lepatli lolotle fa pamne naagennelotle ke biragala ko mafelen anang komen a fa bi
3. ragale
4. mnee hipe ka napo e yana enefen gore e re bona go reba o ba ba gimang mapala ao kabaka e h
5. nanete lebanen e beponahore idf yale
6. nahe khorekeonee","1. Many women can't help each other, but we are better than men
2. Now I'm looking for a place where I can't find a place to comment on
3. angry
4. give me the hip in the same place so that we can see who is driving those cars because it is h
5. The truth is that it is true
6. give me a hook"
2,6,30,nagartatla ar intanet kori nd ko okoun kwa dihetantel e bantlanmohintla hobola gore le ba hibalahenang makwalo ao a khena go berepa mme danato ee siana gene ke goree dipatihihe ke kapag egeepe e ho jakolefa palabitikanaek e thoopakame kidulebat babamni reganto hebeta tapetiyamerehi knalba taran ta re hoilenhore,"1. nagartatla ar intanet kori nd ko okoun kwa dihetantel e bantlanmohintla hobola gore le ba hi
2. balahenang makwalo ao a khena go berepa mme danato ee siana gene ke goree
3. dipatihihe ke kapag egeepe e ho jakolefa
4. palabitikanaek e thoopakame kidulebat babamni reganto hebeta tapetiya
5. merehi knalba taran ta re hoilenhore","1. Internet search engine nd ko okoun kwa dihetantel e bantlanmohintla because you are hi
2. Read those letters that are hard to read and the same thing is true
3. dipatihe is kapap egeepe e jakolefa
4. palabitikanaek e thoopakame kidulebat babamni ruler hebeta tapetiya
5. merehi knalba taran ta re hoilenhore"
2,7,30,legand banadi   basnamakwalo ao bakhonh kram ente mmee a ka tekgalesa gore ga se fefe si tanenankatimn toka patsete bigeting ke go retitsa maka letlulela go enpa le mopoleno ho na lee badesibaapoo emapelyang a ho enta a tlhone gampile a tlhaloganyan gore gona lebatbaba batla mmeendo ne piletsepe nemnepelenyabele  ko repela gabana makwala ethupoka makoekga,"1. legand banadi   basnamakwalo ao bakhonh kram ente mmee
2. a ka tekgalesa gore ga se fefe si tanenankatimn toka patsete bigeting ke go retitsa
3. maka letlulela go enpa le mopoleno ho na lee badesibaapoo emapelyang a ho enta a tlhone gam
4. pile a tlhaloganyan gore gona lebatbaba batla mmee
5. ndo ne piletsepe nemnepelenyabele  ko repela gabana makwala ethupoka makoe
6. kga","1. legand women in the newspaper who bakhon kram ente mume
2. He can confirm that there is nothing wrong with it.
3. make the room better and the vision is better.
4. He first understood that the bird was looking for a mother
5. I was very happy to be able to sing the song
6. no"
2,8,30,men eeno afekhabera e malyen na moro ya aidi ne ebkhore ikinedite  dikanaya gago ya hipo o ka nala kosimape laipayane temprare aidi kure o khonokram epe ne ga o le e nkoo klen fekhabora e le retidi kapayene o le afalampika ka nako e yana gete hekhalte pentle pentle gore go berekayankimmeb,"1. men eeno afekhabera e malyen na moro ya aidi ne ebkhore ikinedite  dikanaya
2. gago ya hipo o ka nala kosimape laipayane temprare aidi kure o khonokram epe ne ga o le e
3. nkoo klen fekhabora e le retidi kapayene o le afalampika ka nako e yana gete hekha
4. lte pentle pentle gore go berekaya
5. nkimme
6. b","1. This man is in the middle of nowhere
2. Your hipo can have kosimape laipayane temprare aidi kure o khonokram epe you were not
3. If you are in the middle of the day, you will be aflame at the same time.
4. Paint the paint to make it work
5. I am pregnant
6. b"
2,9,30,tela ganterene pegwene te le paphalabi tekanelo khori le belle topa topa gore ditanetipa dikoberpaian ba tlhalotite kapanedi khodinpehipile ndapee nekhalekep o galetite gore o ntna go le khata ke ge lekhapahere bakgema ke bonagere eddf ek e ka bereka yang er here e ghena gopaya lebatbabahnammakwalo aokapaninmerepe,"1. tela ganterene pegwene te le paphalabi tekanelo khori le belle topa topa gore ditanetipa dikober
2. paian ba tlhalotite kapanedi khodinpehipile ndapee
3. nekhaleke
4. p o galetite gore o ntna go le khata ke ge lekhapahere bakgema ke bonagere eddf ek e
5. ka bereka yang er here e ghena gopaya lebatbabahnammakwalo aokapaninmerepe","1. give up the ganterene pegwene te and paphalabi tekanelo khori and belle topa topa so that the tapes are covered
2. Paian ba lakhatite kapanedi khodinpehipile ndapee
3. I'm sorry
4. p o galetite that the next step is when the room is empty
5. I'm going to work here, and I'm going to have a good time"
2,10,30,mne e rine kefela kutadn  di ditetleleto getapa le fakhalladititanala raipi go nalee ba ba thana lebabe khoelet eben hi naen pipe koletion bante ba buaka ne ento ba reteta le batlhgor batni ento nne ba buellela le bath bne thabenjabarre rkabadikartidi ban rapo population kapa bande kommunitin kirbat babanemo pepin ya go entliwa ka ya go thata gata,"1. mne e rine kefela kutadn  di ditetleleto getapa le fakhalladititanala raipi go nalee
2. ba ba thana lebabe khoelet eben hi naen pipe koletion bante ba buaka ne ento ba reteta le ba
3. tlhgor batni ento nne ba buellela le bath bne thabenjabarre rkabadikartidi ban rapo population
4. kapa bande kommunitin kirbat babanemo pepin ya go entliwa ka ya go thata gata","1. I have only cut hair and hair, but I have to wear it.
2. They called them lebabe khoelet eben hi naen pipe koletion bante bauka ne ento they reteta and ba
3. tlhgor batni ento 4 advocate with bne thabenjabarre rkabadikartidi ban rapo population
4. or bande komunitin kirbat babanemo pepin to be injected with the hard gata"
2,11,30,dnen e le palebapala mokgo baphulantaone kapa gedlopatene ditokomaneteribuangatene mnee bakhaletipe hi nen tliket kolytion e khalitipe kore e nte ba le mne dipitaneng ke dipelento bakopa o bakopa kopa elhephalabutikanele le puto gore ba pankanya kgany e gomne renale di an daktumented mikran ee gare byaka tene di an dakumenked mikran emdbwaaka batbabaleno a hethaborwa ne ba henadib,"1. dnen e le palebapala mokgo baphulantaone kapa gedlopatene ditokomaneteribua
2. ngatene mnee bakhaletipe hi nen tliket kolytion e khalitipe kore e nte ba le mne dipitaneng ke
3. dipelento bakopa o bakopa kopa elhephalabutikanele le puto gore ba pankanya kgany e gomne renale di an da
4. ktumented mikran ee gare byaka tene di an dakumenked mikran emdbwaaka batbabaleno a he
5. thaborwa ne ba henadib","1. dnen as palebapala mokgo baphulantaone or gedlopatene dotokomanteribua
2. ngatene mnee bakhaletipe hi nen tliket kolytion e khalitepe kore e nte bemne dipitanen ke
3. Pilento they are asking you to ask them to ask elhephalabutikanele and puto so that they pankanya kany e gomne renale di an da
4. ktumented mikran ee gare byaka tene di an dakumenked mikran emdbwaaka batbabaleno a he
5. They were happy"
2,12,30,miri keo khategankhoro  go no e ntlua e ne falebapala gore bathabile mahothabone kapadnagata bone ba mapata a namtiki a ka diragala papabatile lefafa ba batla npiro ba batla bophilebobubutoka nne babiella batlibao po ertinakit koletion batlalefa koree kgamnge le mong mo afrika bora a reke mo afrika borwa e naledipankire hamadipand,"1. miri keo khategankhoro  go no e ntlua e ne falebapala gore bathabile mahothabone kapadnaga
2. ta bone ba mapata a namtiki a ka diragala papabatile lefafa
3. ba batla npiro ba batla bophilebobubutoka nne babiella batlibao po ertinakit koletion batlalefa
4. koree kgamnge le mong mo afrika bora a reke mo afrika borwa e naledipankire hamadipand","1. What is the meaning of the word that comes from me?
2. Let's see the pitfalls that can happen in the world
3. they want a job they want a life
4. Let everyone in Africa go and buy in South Africa, Naledipankire Hamadipand"
2,13,30,atla intua reko bona mathata reko bona mathata a gore rekopalelape gore re kireyana hed ithi e re tlhopan rerekho no bona dithepagodilpetlak mne tanape e re tenamonyeny e ganterebuaka gore maitanape baeta gore leroboroboc yola bonne la leroborobo la preded  lekatlele le mopeleng go bo tlopaharek batle ba janti ba empiok gorre bona ko rek re kabanayondkna,"1. atla intua reko bona mathata reko bona mathata a gore rekopalelape gore re kireyana hed ithi e re tlhopan rerekho no
2. bona dithepagodilpetlak mne tanape e re tenamonyeny e ganterebuaka gore maitanape baeta gore leroborobo
3. c yola bonne la leroborobo la preded  lekatlele le mopeleng go bo tlopaharek batle ba janti ba empiok gorre
4. bona ko rek re kabanayondkna","1. atla intua reko see the problems
2. see dithepagodilpetlak mne tanape say tenamonyeny ganterebuaka that maitanape go that lemurobo
3. C yola bonne of the disease of the preded the head and the heart to be clopaharek of the janti of the empiok gorre
4. see if we are talking to each other"
2,14,30,po e e k here o bo tepolethelo le ondn polole gora ana ba pa go thuta ga o le mo afrika bora o pinedipe popo e dikonoaneta gago o ka ya to bomahet kretentarare aidi paapa leone ga o o pinedipe dikapamanipedintetsa gago oka ya to bomafe hre ba go thutecmne gao nadie ofnahepefipanapala a nanone o ka enela kerrite lefakhalampekanelo mo beden e lapelang kipe le ka herikikire bale fakh,"1. po e e k here o bo tepolethelo le ondn polole
2. gora ana ba pa go thuta ga o le mo afrika bora o pinedipe popo e dikonoaneta gago o ka ya to bomahet k
3. retentarare aidi paapa leone ga o o pinedipe dikapamanipedintetsa gago oka ya to bomafe hre ba go
4. thutecmne gao nadie ofnahepefipanapala a nanone o ka enela kerrite lefakhalampekanelo mo be
5. den e lapelang kipe le ka herikikire bale fakh","1. If you have a problem with it, say it
2. If you don't want to study in Africa, why don't you go to Bomahet?
3. Retentarare aidi paapa leone, don't you pinipipe your problems or what are you doing when they are
4. teach your child ofnahepefipanapala a again you can enter the kerrite lefakalampekanelo be
5. den that is hungry for kipe and kaherikikire bale fakh"
